ID,Source,Title,Content,Timestamp,Ours,Voicelab,Clarin,Textclass,Ner
972,31392,forummedyczne.edu.pl,Nadmierne pocenie się,"Pocenie nadmierne jest schorzeniem polegającym na wzmożonym wydzielaniu potu. Choroba może mieć charakter uogólniony lub dotyczyć tylko ograniczonych okolic skórnych, np. rąk czy stóp. Pocenie nadmierne o charakterze pierwotnym jest związane z osobniczą skłonnością do wydzielania większych ilości potu, które nie jest zależne od czynników atmosferycznych, a ma przede wszystkim podłoże emocjonalne. Natomiast pocenie nadmierne objawowe występuje w przebiegu innych schorzeń, np. nadczynności tarczycy, gruźlicy, cukrzycy i w wielu innych jednostkach chorobowych. Objawy pocenia nadmiernego Pocenie ograniczone objawia się najczęściej na skórze okolic pach, dłoni, stóp i twarzy (lub tylko na obszarach nosa, czoła, wargi górnej) lub na obszarach owłosionej skóry głowy. Podłożem nadmiernego pocenia się okolicy nosa są uwarunkowania genetyczne, ta postać występuje głównie u dzieci, a po okresie pokwitania zanika lub ulega znacznemu osłabieniu. W tej odmianie pojawiają się drobne pęcherzyki na rumieniowym podłożu oraz kropelki potu. Leczenie pocenia nadmiernego Terapia przy poceniu nadmiernym dotyczy leczenia ogólnego i miejscowego. W pierwszym przypadku korzystne działanie wykazują preparaty hamujące czynność układu przywspółczulnego (leki parasympatykolityczne), a także środki neurotropowe (np. hydroksyzyna i inne). W postaciach przebiegających ze szczególnie nasilonymi objawami np. na skórze dłoni, poprawę uzyskuje się po przecięciu włókien układu wegetatywnego zaopatrujących skórę rąk. Miejscowe leczenie pocenia nadmiernego opiera się na podawaniu zasypek zawierających kwas borowy lub sole metali albo roztworów formaliny (preparaty z tym związkiem chemicznym mogą wywoływać szczególnie często objawy alergiczne).",30-04-2016,"objawy pocenia nadmiernego pocenie ograniczone
pocenie nadmierne
stóp
obszarach nosa
dłoni","pocenie nadmierne
owłosienie skóry głowy
pocienie nadmierne o charakterze pierwotnym
","pocenie nadmierne
przyczyny pocenia nadmiernego
objawy pocenia nadmiernygo",zagranica,
1778,31402,forummedyczne.edu.pl,Łagodny żel do higieny intymnej,"Codzienna pielęgnacja wrażliwych miejsc intymnych dla osób nie tolerujących tradycyjnych preparatów myjących, mających skłonność do powstawania zmian typu świąd, pieczenie, wyprzenia. Przebadany pod kierunkiem lekarzy: dermatologa i ginekologa, polecany kobietom w ciąży i po porodzie z uwagi na delikatne i skuteczne działanie. Delikatny żel do higieny intymnej. Zawiera ekstrakt z mydlnicy o własnościach myjących oraz ekstrakt z prawoślazu o działaniu przeciwzapalnym, powlekającym i zmiękczającym. Wzbogacony o prebiotyk, który odnawia naturalną florę bakteryjną, stymuluje rozwój bakterii przyjaznych skórze, a hamuje rozwój bakterii i grzybów chorobotwórczych. Stosowany regularnie zapewnia komfort i wspomaga leczenie infekcji, przyspiesza regenerację drobnych uszkodzeń, otarć i odparzeń. Dzięki zachowaniu lekko kwaśnego odczynu pH zapewnia fizjologicznie prawidłowy stan skóry i śluzówki miejsc intymnych. Łagodnie myje, neutralizuje przykry zapach, zapewnia wielogodzinne uczucie czystości i świeżości, nie wysusza śluzówki i skóry w obrębie miejsc intymnych (100% testujących). Niewielką ilość żelu nanieść i rozprowadzić na dłoniach, dodać trochę wody do powstania delikatnej piany. Powstałą pianą umyć skórę i dokładnie spłukać.",19-07-2016,"codzienna pielęgnacja wrażliwych miejsc intymnych
ekstrakt
prawidłowy stan skóry
rozwój bakterii przyjaznych skórze
działaniu przeciwzapalnym","higiena intymna
preparaty myjące
pielęgnacja miejsc intymnych","higiena intymna
mydlnica o własnościach myjących
preparaty myjące","styl życia i wypoczynek
uroda",
323,31405,forummedyczne.edu.pl,Włos – zwierciadłem stresu,"Szereg chorób somatycznych jest skutkiem niezdolności organizmu do radzenia sobie z przewlekłym stresem. Stałe pobudzenie organizmu prowadzi do wyczerpania zasobów odpornościowych, a w konsekwencji chorób takich jak nadciśnienie, czy podwyższone ryzyko zawału serca. Wykrywanie stresu przewlekłego było niezwykle problematyczne ze względu na brak charakterystycznego biomarkera. Okazuje się, że analiza włosów pacjenta może odpowiedzieć na więcej pytań niż pierwotnie oczekiwano. Stres jest zjawiskiem zaburzenia homeostazy organizmu spowodowanym czynnikiem fizycznym lub psychologicznym. Może być zjawiskiem mobilizującym (nazywany jest wtedy eustresem) lub zupełnie negatywnym (dystresem). Organizm radzi sobie ze stresorami od fazy alarmowej poprzez fazę przystosowania, aż do fazy wyczerpania, w której nie jest w stanie już znieść ciągłego pobudzenia, w konsekwencji prowadząc do choroby, a nawet śmierci. Powody stresu są tak różne, jak różni są ludzie, którzy go odczuwają – na pierwszych miejscach jednak niezmiennie figurują problemy finansowe i socjalne. Biomarker stresu przewlekłego umożliwiłby jego wcześniejsze wykrywanie, zatem również minimalizowanie jego negatywnych skutków. Ostry stres od lat analizowany był na podstawie szacowania poziomu katecholamin w osoczu, ślinie i moczu. Kortyzol – hormon steroidowy z rodziny glukokortykosteroidów uznawany jest za hormon stresu na równi z adrenaliną. Działa mobilizująco na organizm, zwiększając stężenie glukozy we krwi w sytuacjach stresowych. Jest łatwy do wyekstrahowania i wykrycia przy pomocy testów ELISA, chromatografii LC-Ms/MS, czy metod radioimmunologicznych RIAs. Analiza poziomu kortyzolu na podstawie próbek krwi czy śliny jest skuteczna podczas szacowania poziomu stresu ostrego (w chwili pobierania materiału do badań). Znalezienie biomarkera stresu przewlekłego wydaje się bardziej problematyczne, chociażby ze względu na jego skomplikowaną etiologię, zmienność osobniczą i niezwykle długi okres zbierania materiału do badań. Zbieranie próbek śliny przez cały dzień jest trudne i niemiarodajne – poziom kortyzolu ulega fluktuacjom dobowym, jak również odnotowuje się dużą zmienność osobniczą. Badania krwi dostarczają informacji o poziomie kortyzolu w formie wolnej (aktywnej), ale także związanej z białkami osocza. W związku z tym, poziom ulega olbrzymim zmianom przy stosowaniu antykoncepcji hormonalnej i w trakcie ciąży (prowadzącej do zwiększenia ilości białka wiążącego kortyzol, tym samym do zwiększenia ogólnego poziomu kortyzolu we krwi). Sposób pobierania próbek do badania poprzez nakłuwanie powłok ciała jest sam w sobie stresorem i doprowadzić może do nieadekwatnego wyniku.",05-02-2017,"krwi
wykrywanie stresu przewlekłego
ślinie
hormon steroidowy
podstawie szacowania poziomu katecholamin","biomarker
choroby somatyczne
stres przewlekły","stres przewlekły
choroby somatyczne
choroba somatyczna","ciekawostki
zagranica","ELISA
LC-Ms/MS
rias"
309,31433,forummedyczne.edu.pl,Laparoskopowa operacja dużej torbieli jajnika,"Laparoskopowa operacja dużej torbieli jajnika w trakcie której nieoczekiwanie znaleziono ognisko podejrzane o przemianę złośliwą. Sródoperacyjne badanie histopatologiczne nie zostało wykonane. Ostateczne badanie rozpoznało guz graniczne złośliwości ""borderline"". W badaniu cytologicznym płynu z torbieli nie stwierdzono komótrek nowotworowych. Pozostałe narządy jamy brzusznej makroskopowo prawidłowe. Zakres operacji nie został rozszerzony. Rokowanie dla pacjentki jest dobre.",25-12-2016,"pozostałe narządy jamy brzusznej
guz graniczne złośliwości
ostateczne badanie
rokowanie
prawidłowe","laparoskopowa operacja dużej torbieli jajnika
guz graniczny złośliwości ""border","badanie histopatologiczne
torbiela jajnika
guz graniczny złośliwości","zdrowie
zagranica",
1401,31449,forummedyczne.edu.pl,Biała narośl na krawędzi oka,Co to jest? Chodzi mi o tą białą narośl na zewnętrznej krawędzi oka zdjęcie wysłałem na pw,02-04-2016,"białą narośl
zewnętrznej krawędzi oka zdjęcie","Biała Narośl
Biała narośl na zewnętrznej krawędzi oka
Narośl na wewnętrznej krawędzi oka","narośl
narośl na krawędzi oka
zdjęcie
fotografia",,
1160,31459,forummedyczne.edu.pl,Jak rozpoznać apalenie oskrzeli u dziecka.,"Choroba rozwija się w następstwie przeziębienia lub grypy,gdy wirus wnika w głąb układu oddechowego.Objawy występują po 2-3 dniach od wystąpienia podstawowej infekcji,kiedy pojawia się bolesny kaszel a dziecko odkrztusza biało-żółtą ciągnącą wydzielinę oraz występują trudności z oddychaniem. Jak leczyć:podajemy dziecku syropy wykrztuśne,wskazane picie,gdzie płyny rozrzedzają wydzielinę i ułatwiają kaszel.Należy nawilżać powietrze(suche i gorące szkodzi śluzówce w drogach oddechowych) Można dodatkowo nacierać plecy kamforą o oklepywać dłonią(ułożoną w kształcie łódeczki.",29-08-2016,"bolesny kaszel
płyny
wskazane picie
śluzówce
dziecko odkrztusza biało-żółtą ciągnącą wydzielinę","choroba
kaszel
choroby zakaźne
choroby wirusowe
choroby wykrztuś","kaszel
syropy wykrztuśne
kaszel",zdrowie,
1547,31470,forummedyczne.edu.pl,Zwolnienie lekarskie z fizycznej pracy,"Witam. Czy nadciśnienie (jeszcze nie unormowane, dopiero co zdiagnozowane) i cukrzyca (też dopiero co stwierdzona) wraz z podejrzeniem trachykardii jest powodem do wystawienia zwolnienia lekarskiego z fizycznej pracy (non stop na nogach plus dźwiganie) do momentu konsultacji kardiologicznej? Proszę o odpowiedź.",07-10-2019,"wystawienia zwolnienia lekarskiego
powodem
podejrzeniem trachykardii
fizycznej pracy
dźwiganie","cukrzyca
nadciśnienie
trachykardia","diagnostyka kardiologiczna
trachykardia
rehabilitacja kardiologiczna",zdrowie,
1304,31488,forummedyczne.edu.pl,Terapie spersonalizowane nadzieją dla chorych na raka płuca,"Szansa na drugi oddech, czyli terapie spersonalizowane nadzieją dla chorych na raka płuca Ponad 20 tysięcy Polek i Polaków rocznie słyszy diagnozę: „Masz raka płuca”. Dla wielu z nich rokowanie do tej pory było nie najlepsze. Guzy nieoperacyjne nie poddają się łatwo leczeniu, a i arsenał leków dostępnych dla tych wskazań był do niedawna niewielki. Od kilku lat chorzy i lekarze z nadzieją patrzą na terapie spersonalizowane. Do inhibitorów kinazy tyrozynowej, stosowanej przy stwierdzonych mutacjach genów EGFR i ALK, dołączyła immunoterapia, zwalczająca nowotwór poprzez uaktywnienie układu odpornościowego. W lutym 2017 r. Europejska Agencja ds. Leków zarejestrowała pembrolizumab do stosowania w leczeniu pierwszego rzutu u pacjentów z przerzutowym niedrobnokomórkowym rakiem płuca (NDRP) z wysoką ekspresją PD-L1, bez mutacji EGFR i ALK w obrębie guza. Najczęstszy i trudny w leczeniu – Niedrobnokomórkowy rak płuca to w Polsce około 80 procent przypadków. Nie dość, że występuje dużo częściej niż rak drobnokomórkowy, to jeszcze do nie dawna pacjentom nie można było zaoferować nic poza chemioterapią. Wyniki chemioterapii, jeśli chodzi o raka niedrobnokomórkowego, nie są najlepsze, to znaczy jest kilka schematów, ale wszystkie działają podobnie. Rzeczywiście wpływają na przedłużenie życia statystycznie, ale ta różnica statystyczna wynosi około 8 tygodni. Mediana przeżycia to około 10–12 miesięcy, gdy rak jest zaawansowany. Zmieniło się to znacznie wraz z rozwojem leków ukierunkowanych molekularnie – stwierdza dr Adam Płużański z Kliniki Nowotworów Płuca i Klatki Piersiowej Centrum Onkologii w Warszawie. W części komórek raka płuca dochodzi do zaburzeń funkcji genu odpowiedzialnego za powstawanie komórek nowotworowych – są to między innymi mutacja EGFR i zaburzenie struktury genu ALK. – Chorzy, u których stwierdzono takie zaburzenie, otrzymywali badany inhibitor kinazy tyrozynowej bądź standardową chemioterapię. Stwierdzono znaczne zwiększenie odsetka obiektywnych odpowiedzi, czyli zmniejszenie się całkowitej masy guza nawet 3-krotne w porównaniu ze standardową chemioterapią, 2–3-krotne wydłużenie czasu do progresji choroby, do niepowodzenia leczenia. Przy chemioterapii przeżycie całkowite wynosiło około 12 miesięcy, a tutaj około 20–30 miesięcy, czyli było dwukrotnie dłuższe niż w przypadku chemioterapii. Problem jest taki, że ten potencjalny cel terapeutyczny występuje u około 10 procent chorych – dodaje dr Płużański. Ratunek w układzie odpornościowym? Skoro inhibitory EGFR i ALK nie są",08-03-2017,"raka płuca
leczeniu
alk
arsenał leków dostępnych
niedrobnokomórkowy rak płuca","immunoterapia
rak płuca
terapie spersonalizowane","terapia spersonalizowana
rak płuca
pembrolizumab
NDRP","zdrowie
zagranica","EGFR
alka
Polka
Polak
Europejska Agencja ds. Leków
NDRP
Polska
Adam Płużański
Klinika Nowotworów Płuca i Klatki Piersiowej
Centrum Onkologii w Warszawie
Płużański"
1794,31496,forummedyczne.edu.pl,"Oczy łzawią i pieką, a powieki bolą i są zaczerwienione?","Oczy łzawią i pieką, a powieki bolą i są zaczerwienione? Pewnie masz zapalenie spojówek. Nie lekceważ tej dolegliwości, od razu zastosuj właściwe leczenie. Cienkie przesuwalne błony śluzowe wyścielające powieki i pokrywające powierzchnię gałki ocznej –spojówki – są niezwykle delikatne, dlatego łatwo je podrażnić. W spojówkach znajdują się gruczoły łzowe, śluzowe i tłuszczowe, które produkują wydzieliny składające się na łzy. Nawilżają one powierzchnię oka i pozwalają utrzymać na niej stałe środowisko chemiczne. Obmywają równocześnie oko z zanieczyszczeń i umożliwiają „gładkie” ruchy powiek. Spojówkom szkodzi słońce, morska woda, praca przy komputerze i wielogodzinne siedzenie przed telewizorem. Nie służy im również ślęczenie nad drobnym drukiem, dym papierosowy, silny wiatr, kurz, intensywne zapachy, suche powietrze, chlorowana woda i klimatyzacja. Zapalenie spojówek mogą też wywołać bakterie lub wirusy (wtedy choroba jest zakaźna) i alergeny. Stan zapalny sprawia, że powieki przestają pełnić swoją ochronną funkcję, narażając oko na działanie szkodliwych czynników.",12-08-2016,"morska woda
oko
zapalenie spojówek
powieki
silny wiatr","łzawienie
spojówki","spojówki
zapalenie spojówek
łzawienie",zagranica,
202,31500,forummedyczne.edu.pl,"Zatykające się ucho,co może być przyczyną,lek nie pomaga.","Witam, proszę o pomoc w zdrowotnej sprawie. Od paru dni po nocy mam zatkane prawe ucho. Dotychczas było tak, że po paru minutach od przebudzenia (ew. po prysznicu) ucho się odtykało i było wszystko ok. Dziś jednak tak się nie stało. Po przebudzeniu i wzięciu prysznica ucho nadal było zatkane. Za poradą farmaceutki zastosowałem spray a-cerumen i nadal nie ma poprawy. Po naciśnięciu w okolice ucha palcami na chwile się odtyka jednak po odjęciu palców nadal zatyka... Jaka może być tego przyczyna i jak temu zapobiec?",25-06-2016,"zatkane prawe ucho
ucho
okolice ucha palcami
chwile
naciśnięciu","a-cerumen
zatkane prawe ucho","zatkane prawe ucho
pomoc zdrowotna
ucho",ciekawostki,
97,31504,forummedyczne.edu.pl,dot.wyniku kreatyniny i eGFR,"Witam. Odebrałem dziś wynik mamy, która funkcjonuje z 1 nerką. Kreatynina w surowicy 1,20mg/dl - NORMA (O,5-0,9); eGRR 45,2ml/min - NORMA (>60). Czy wpływ na te wyniki miał fakt,że mama wczoraj piła mniej wody? Namawiam mamę,żeby jutro poszła ponownie zbadać kreatyninę i dziś więcej piła i jeszcze w poniedziałek ponowiła badanie, gdyż w październiku jak robiła wyniki, to były ok. a do nefrologa ma na 25-tego bm. Czy to był powód obniżenia tych parametrów? Pozdrawiam A może świadczy to o złej pracy tej nerki?",20-04-2017,"wyniki
fakt
badanie
mama
poniedziałek","NORMA
kreatynina
nerka","nerki
kreatynina
nerka
nerki","zdrowie
zagranica",
420,31541,forummedyczne.edu.pl,Ryzyko krwawienia z górnego odcinka przewodu pokarmowego,"Ryzyko krwawienia z górnego odcinka przewodu pokarmowego związane ze stosowaniem selektywnych inhibitorów wychwytu zwrotnego serotoniny Omówienie artykułu: Short-term use of serotonin reuptake inhibitors and risk of upper gastrointestinal bleeding Y.-P. Wang, Y.-T. Chen, C.-F. Tsai i wsp. American Journal of Psychiatry, 2014; 171: 54–61 * Kryteria wyboru badań, opis procesu kwalifikacji oraz słownik podstawowych pojęć używanych w opisie badań klinicznych znajdują się na stronie internetowej Medycyny Praktycznej w zakładce Artykuły. Jak cytować: Wang Y.-P., Chen Y.-T., Tsai C.-F. i wsp.: Ryzyko krwawienia z górnego odcinka przewodu pokarmowego związane ze stosowaniem selektywnych inhibitorów wychwytu zwrotnego serotoniny. Med. Prakt. Psychiatria, 2016; 2: 25–26 Opracowali: mgr Karolina Moćko, dr n. med. Rafał Jaeschke Skróty: ASA (acetylsalicylic acid) – kwas acetylosalicylowy, CI (confidence interval) – przedział ufności, GOPP – górny odcinek przewodu pokarmowego, NLPZ – niesteroidowy lek przeciwzapalny, NNH – number needed to harm, OR (odds ratio) – iloraz szans, RR (relative risk) – ryzyko względne, SSRI (selective serotonin reuptake inhibitors) – selektywne inhibitory wychwytu zwrotnego serotoniny Wprowadzenie Związek między przyjmowaniem SSRI a ryzykiem krwawienia z GOPP nadal budzi kontrowersje. W przeprowadzonych dotychczas badaniach oceniano wpływ stosowania SSRI przez około trzy miesiące, mimo że hamowanie wychwytu zwrotnego serotoniny przez SSRI następuje zwykle po 7–14 dniach. Autorzy tego badania podjęli próbę oceny ryzyka krwawienia z GOPP u osób przyjmujących SSRI krótkoterminowo. Pytanie kliniczne Czy istnieje związek między przyjmowaniem SSRI a krwawieniem z GOPP? Metodyka Badanie typu case-crossover (oparte na układzie naprzemiennym, w którym wykorzystuje się metodykę badań kliniczno-kontrolnych, ale zamiast grup kontrolnych stosuje się kontrolne okresy obserwacji) Badani Kryteria włączenia: wiek ≥20 lat, nowo rozpoznane krwawienie z GOPP wymagające hospitalizacji Kryteria wykluczające: m.in. jednoczesne rozpoznanie urazu lub krwawienie z żylaków przełyku Wyjściowo badane grupy nie różniły się znamiennie pod względem cech demograficznych i klinicznych (tab. 1.). Tabela 1. Wyjściowa charakterystyka badanej populacjia wiek 58 lat mężczyźni 75% przebyta choroba przewodu pokarmowego 20% depresja 54% schizofrenia 25% zaburzenia lękowe 47% choroba związana z nadużywaniem alkoholu 54% wcześniejsze przyjmowanie SSRI 43% choroba naczyniowo-mózgowa 42% przewlekła choroba układu oddechowego 34% nadciśnienie tętnicze 41% przewlekła choroba wątroby 29% zaburzenia rytmu serca 21% dyslipidemia 20% przewlekła choroba nerek 11% niewydolność",08-11-2016,"ssri
gopp
górnego odcinka przewodu pokarmowego związane
ryzyko krwawienia
przewlekła choroba układu oddechowego","acetylsalicylic acid
inhibitor wywchwytu zwrotnego seroto","serotonin reuptake inhibitors
wychwyt zwrotny serotoniny
kwas acetylosalicylowy",zdrowie,"SSRI
P. Wang
T. Chen
C.
F. Tsai
American Journal of Psychiatry
Medycyna Praktyczna
Wang
P.
Chen
T.
Tsai C.
F.
Med. Prakt. Psychiatria
Karolina Moćko
Rafał Jaeschke
as"
1577,31562,forummedyczne.edu.pl,Wada wzroku a cesarskie cięcie,"Jaka wada wzroku jest wskazaniem do cesarskiego cięcia? Wskazania do cięcia cesarskiego powinien określić okulista. To zazwyczaj duża krótkowzroczność - powyżej minus 8 dioptrii, gwałtownie pogłębiająca się wada wzroku, stan po operacyjnym leczeniu wady, przebyte odklejenie siatkówki itp.",27-11-2016,"cesarskiego cięcia
wada wzroku
wskazania
operacyjnym leczeniu wady
stan","cesarskie cięcia
okulista
okulistyka
wada wzroku","wada wzroku
okulista
chirurgia
cięcie cesarskie",zdrowie,
1147,31586,forummedyczne.edu.pl,Otyłość brzuszna,"Witam. Bliska mi osoba nadużywa alkoholu od kilkudziesięciu lat, ale od 6 lat pije codziennie ilośći 0,5l do 1L wódki. Ma 52 lata Waży 115 kg przy wzroście 180cm. Czy taka otyłość jest bardzo groźna? Czy to może byćwodobrzusze? Taki brzuch ma już kilka lat. I lekko zażółcone białkówki.",14-04-2018,"osoba
groźna
otyłość
alkoholu
byćwodobrzusze","alkohol
alkohol
otyłość","otyłość
alkohol
zażółcone białkówki
otyłość",zdrowie,
786,31628,forummedyczne.edu.pl,Wyprysk na dłoniach i stopach.,"Witam. Od 16 lat borykam się z problemem wyprysku na dłoniach i stopach. Wielokrotnie zwiedzałam wiele gabinetów dermatologicznych i alergologicznych ale żaden z lekarzy nie był w stanie stwierdzić co to jest. Jedyne co słyszałam to: alergia kontaktowa ale na co, to do tej pory nie wiem. Ostatni z lekarzy stwierdził łuszczycę, ale leki niestety nie pomagają a nawet pogorszyły sytuacje, w tym momencie mam najgorszy stan skory w swoim życiu. Proszę o opinie. Już nie mam siły, stosowałam już chyba wszystko a i limit lekarzy i ich specjalizacji został wyczerpany. Nie wierze, ze ktoś jest mi w stanie pomoc. Czy to możliwe, aby była to alergia pokarmowa albo nietolerancja któregoś z produktów spożywczych? Dodam, że skóra pęka, tworzą się rany. W czasie, gdy jeszcze miałam wf po każdym kontakcie z piłka lub po mocnym uderzeniu naskórek pękał i krwawił. W tym momencie wyglada to tak Z góry dziękuję za odpowiedz. Pozdrawiam.",21-04-2018,"lekarzy
momencie
alergia kontaktowa
stanie
najgorszy stan skory","alergia kontaktowa
alergia pokarmowa
wyprysk na dłoniach i stopach","alergia kontaktowa
wyprysk na dłoniach i stopach
alergia pokarmowa",,
1051,31666,forummedyczne.edu.pl,Nowy pieprzyk,Pojawil sie praktycznie z dnia na dzien. Jest duzo ciemniejszy od innych i lekko wystajacy. Mam sporo obawy. Czy w czasie pandemii uda mi sie go wyciac?,18-04-2020,"dzien
dnia
ciemniejszy
pojawil
obawy","pandemia
pandemia
wyciac
wystajacy
w","pandemia
wyciac
Pandemia",zdrowie,
949,31679,forummedyczne.edu.pl,USG gruczołów piersiowych,"Badanie USG gruczołów piersiowych to metoda obrazowania tkanek gruczołów piersiowych z użyciem fal ultradźwiękowych stosowana w profilaktyce i diagnostyce chorób piersi. Jest to pierwszoplanowe badanie tego narządu poza badaniem palpacyjnym, ponieważ jest to metoda nieinwazyjna, bezbolesna i całkowicie bezpieczna. Badanie USG jest badaniem diagnostycznym z wyboru u kobiet poniżej 35. roku życia i wartościowym uzupełnieniem mammografii u kobiet po 40. roku życia. U kobiet poniżej 40 roku życia odstęp między badaniami powinien wynosić około 6 miesięcy, ale każda kobieta w wieku 20-25 lat powinna mieć choć raz wykonane USG gruczołów piersiowych jako badanie przesiewowe. Badanie jest także podstawową metodą obrazowania gruczołów piersiowych u kobiet w ciąży i karmiących, u których badanie mammograficzne jest przeciwwskazane oraz pacjentek po 40 roku życia, stosujących hormonalną terapię zastępczą, u których wartość diagnostyczna mammografii jest niższa ze względu na zmiany w tkance piersi wywołane działaniem hormonów. Badania USG gruczołu piersiowego wykuje się także u mężczyzn, jako diagnostykę wszelkich zmian piersi (guzów, ginekomastii, stanów po urazach). Badanie najlepiej wykonywać między 1-10 dniem cyklu miesiączkowego. Konieczne jest dostarczenie poprzednich wyników badań dotyczących piersi (mammografii, USG, biopsji), zwłaszcza dokumentacji zdjęciowej oraz wypisów ze szpitala, jeśli były przeprowadzane zabiegi operacyjne piersi. Podczas badania USG gruczołów piersiowych dokonuje się oceny: - budowy sutków - przewodów mlekowych - zawartości dołów pachowych (przede wszystkim węzłów chłonnych) - ewentualnej obecności zmian ogniskowych, zwapnień, torbieli Wskazania do badania obejmują: - ocenę gruczołów piersiowych w przypadku wciągnięcia brodawki lub skóry piersi, wyciek z brodawki, ograniczone bóle - ocenę zmiany wyczuwalnej palpacyjnie lub wykrytej w badaniu mammograficznym - określenie dokładnej lokalizacji zmiany przed zabiegiem operacyjnym (ewentualne naciekanie, stosunek do innych struktur) - diagnostyka zmian łagodnych włóknisto-torbielowatych - ocena gruczołów piersiowych po urazie (wykrywanie obecności krwiaka) - kontrola piersi przed i po cienkoigłowej biopsji aspiracyjnej - ocena i wykrywanie ropni w gruczołach piersiowych, a także badanie kontrolne po leczeniu - diagnostyka węzłów chłonnych śródsutkowych, pachowych, nadobojczykowych - diagnostyka dopplerowska w różnicowaniu zmian złośliwych i niezłośliwych piersi -przed rozpoczęciem terapii hormonalnej - w przypadku raka sutka: jako badanie kontrolne po leczeniu operacyjnym, a po radio- lub chemioterapii do oceny stopnia regresji zmian.",15-02-2016,"pierwszoplanowe badanie
badanie usg gruczołów piersiowych
zmian piersi
kobiet
wartościowym uzupełnieniem mammografii","badania ultradźwiękowe
mammografia
gruczoły piersiowe","badanie mammograficzne
gruczoł piersiowy
mammografia","zdrowie
zagranica",
159,31686,forummedyczne.edu.pl,Pryszcze/krosty na prąciu,"Witam. Mam 20 lat i dosyć irytujący problem jakim są dosyć często pojawiające się pryszcze i krosty na penisie. Występują one tylko na prąciu, na żołędziu wszystko jest ok. Czasem są to większe pryszcze, w których zbiera się ropa i najczęściej pękają. Takie goją się nawet ok 3 tygodnie. Zdarzają się również mniejsze czerwone krosty, które z reguły znikają bez śladu po ok 1-2 tygodniach lub w ostatnim czasie malutkie czerwone krostki, które znikają po dwóch dniach po posmarowaniu korektorem na pryszcze (taki dwukolorowy zielono-brązowy). Raczej przy tym nie występują inne objawy, nie odczuwam żadnego świądu ani pieczenia. Jedyna rzecz, która mogłaby mieć jakieś połączenie to raz na jakiś czas (średnio raz w miesiącu) zdarza mi się oddać dziwny mętny mocz, lekko białawy. Czasem zdarzało się tak, że przed 2-3 miesiące problem się nie pojawiał, a czasem potrafiło się to wydarzyć 2-3 razy w ciągu jednego miesiąca. Na pewno nie złapałem tego drogą płciową, tą opcję można na 100% odrzucić. Teraz do najgorszej części, bo jest to głupota i zaniedbanie z mojej strony. Problem z pryszczami i krostami rozpoczął się jakieś 5-6 lat temu i pojawił się mniej więcej w tym samym okresie co trądzik. O problemie porozmawiałem z rodzicami i dowiedziałem się od ojca, że jemu również takie coś się przytrafiło, ale dużo rzadziej niż mi. Wytłumaczyłem to tym, że może po prostu zmiany trądzikowe dotykają też tego nietypowego miejsca, a pryszcze pojawiają się częściej, bo mój ojciec miał dużo łagodniejszy trądzik niż ja. I tutaj mam dwa pytania. Lepiej udać się do urologa czy dermatologa? Drugie pytanie, troszkę trudniejsze. Oczywiście do lekarza i tak się udam, ale zanim to zrobię chciałem zapytać- na ile poważny może być problem? Biorąc pod uwagę fakt, że występuje on od kilku dobrych lat i nie zauważyłem innych niepokojących objawów. Mogę też dodać, że 2 miesiące temu miałem robione wyniki (zwykłe badania krwi i moczu) i tam wszystko wyszło w normie. Wydaje mi się, że jakbym był przez tyle lat chory na coś poważnego to wyniki nie byłyby zbyt ciekawe, ale to już raczej moje gdybanie. Z góry dziękuję za pomoc.",30-01-2020,"pryszcze
irytujący problem
raz
krosty
trądzik","pryszcz
penis
pryszcze","penis
krosty na penisie
pryszcze
penis",,
1294,31688,forummedyczne.edu.pl,[Film] Zdrowy Kręgosłup. Kiedy bolą plecy,Zdrowy Kręgosłup. Kiedy bolą plecy. Mobilizacja odcinka piersiowego.,17-01-2016,"plecy
mobilizacja odcinka piersiowego
zdrowy kręgosłup","biomechanika
kręgosłup
kręgosłup szyjny
kręgosłup piersiowy","biomechanika
biomasa
kręgosłup
pszenica",zdrowie,
1311,31706,forummedyczne.edu.pl,"[Film] Żołądek, prawidłowy obraz, gastrostomia metodą Depage-Janewa",Film przedstawia prawidłowy obraz endoskopowy na gastrostomię wykonaną sposobem Depage-Janeway.,14-11-2016,"prawidłowy obraz endoskopowy
film
gastrostomię wykonaną sposobem","Depage-Janeway
gastrostomia
obraz endoskopowy","obraz endoskopowy
gastrostomia
endoskopia",zdrowie,
